ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
M1,1999-08-12,,01,ED11,2A18AL10FDH5,19990812,2,,AC,,5,1210,1710,1710,4290,1710,1510,01,1590,74,4,,,Opel,5D ASTRA CARAVAN 1.6-TGF35/261,,,ASTRA-G-CARAVAN,05,e1*98/14*0087*03,01,609,,258275,285,W0L0TGF35X,373
M1,2001-01-19,,01,,5135571107,20010119,5,,AA,,5,1156,1595,1595,4360,1700,1440,01,1590,74,4,,,Ford,4D FOCUS SEDAN 1.6-DFW/262,,,FOCUS,05,,01,309,167,228154,835,WF0FXXWPDF,374
M1,2006-03-17,,01,JM1R,JM1R05,20060317,6,,AF,,5,1395,1915,1915,4260,1810,1620,01,1590,82,4,,,Renault,5D MEGANE SCENIC 1.6 16V-JM1R05/269,,,MEGANE SCENIC,05,e2*01/116*0274*17,01,075,173,101306,494,VF1JM1R053,375
MUU,1983-02-02,13,01,,,19830000,,,,,,160,,750,,1690,,,,,,,,,PV750/2350,,,,,,,564,,,908,,376
M1,2006-02-06,,01,MW38,MW3849??,20060206,0,,AC,,5,1483,1960,1960,4510,1770,1430,01,2430,125,5,,,Volvo,5D V50 STW 2.4I AUTOMATIC-MW3849/264,,,V50,05,e4*01/116*0076*08,01,976,220,74007,956,YV1MW38496,377
MUU,1983-06-27,13,01,,,19830000,,,,,,190,,700,,1480,,,,,,,,Omavalmiste,PV700/2300,,,,,,,977,,,841,,378
M1,1998-12-16,,01,ED11,2A18AL10FDH5,19981216,Y,,AC,,5,1210,1710,1710,4290,1710,1510,01,1590,74,4,,,Opel,5D ASTRA CARAVAN 1.6-TGF35/261,,,ASTRA-G-CARAVAN,05,e1*97/27*0087*02,01,905,,339744,651,W0L0TGF35X,379
L3,2006-06-19,109,01,,,19910131,,,,,2,260,460,,,820,,01,1360,47,,,,Suzuki,INTRUDER 1400-VX51L,,,,02,,01,543,,,019,,380
M1,2006-02-09,,01,AABLRX0,FM6FM62S016N0GG,20060209,8,,AA,,5,1464,,2000,4770,1820,1460,01,1980,110,4,,,Volkswagen,4D PASSAT SEDAN 2.0FSI-3C/271,,,PASSAT,05,e1*01/116*0307*01,01,837,197,196468,335,WVWZZZ3CZ6,381
L3,2002-05-03,109,01,,,19810323,,,,,2,270,,,,1050,,01,1319,47,,,,Harley-Davidson,FXS-BCK/1319,,,,02,,01,626,,,868,,382
M1,2002-05-27,,01,G,G01,20020527,5,,AB,,5,1280,1710,1710,4180,1710,1450,01,1490,66,4,,,Nissan,4D ALMERA HATCHBACK 1.5-FAAN16/254,,,ALMERA,05,e11*98/14*0129*03,01,837,160,185920,337,SJNFAAN16U,383
M1,1995-02-15,,01,,,19950215,1,,,1,5,1190,1600,1600,4530,1700,,01,1580,85,4,,,Toyota,4D CARINA E-XLI-AT190L-BEMDKW/258,,,CARINA E,05,,01,408,,158886,621,SB153ABK00,384
M1,2005-11-25,,01,SZ71,SZ7146??,20051125,6,,AC,,5,1794,2220,2220,4760,1860,1530,02,2400,136,5,true,,Volvo,5D XC70 STW 2.4 D5 AUTOMATIC-SZ7146-4X4/276,,,XC70,05,e4*01/116*0040*14,02,886,224,248733,284,YV1SZ71466,385
M1,2007-07-26,,01,AABKDX01,NFM6FM62Q009,20070726,0,,AA,,5,1410,1995,1995,4570,1770,1450,02,1960,103,4,true,,Skoda,4D OCTAVIA SEDAN 2.0TDI-103-E-1Z/258,,,OCTAVIA,05,e11*01/116*0230*23,02,853,145,330753,201,TMBBE61Z28,386
M1,1985-02-06,26,01,,,19850000,8,,,1,2,870,1250,1250,,1460,,01,970,,4,,,Suzuki,3D STW SJ410-SJ40V-4X4/2030,,,SJ410,02,,01,167,,,828,JSAOSJ40V0,387
MUU,,509,01,,,19730000,,,,,1,2150,,,,,,02,2500,,,,,Volvo Bm,T-430/2100,,,,01,,02,423,,,214,,388
O1,2001-04-04,1,01,,,20010404,,,,,,170,750,750,4000,1750,,,,,,,,JC-Trailer,28 L/260,,,,,,,853,,,203,,389
M1G,2007-02-27,,01,CR71,CR7146??,20070227,0,,AF,,5,2128,2650,2650,4810,1940,1740,02,2400,136,5,true,,Volvo,5D XC90 MPV 2.4 D5 AUTOMATIC EXECUTIVE-CR7146-4X4/286,,,XC90,05,e9*01/116*0046*12,02,186,239,318562,044,YV1CR71467,390
M1,2005-05-30,,01,CGBA1,5QCANS,20050530,8,,AC,,5,1434,2065,2065,4800,1810,1430,01,1790,81,4,,,Ford,5D MONDEO STW 1.8-BWY/275,,,MONDEO,05,e1*98/14*0156*13,01,005,184,267949,635,WF0WXXGBBW,391
M1,2005-04-25,,01,JM0C,JM0C0H,20050425,8,,AF,,5,1395,1915,1915,4260,1810,1620,01,1590,83,4,,,Renault,5D MEGANE SCENIC 1.6 16V-JM0C0H/269,,,MEGANE SCENIC,05,e2*01/116*0274*08,01,687,172,129881,739,VF1JM0C0H3,392
O1,1994-10-20,1,01,,,19941020,,,,,,200,700,700,4350,1720,,,,,,,,TM-Trailer,700/282,,,,,,,240,,,941,,393
O2,2005-04-28,13,01,,,20050428,,,,,,1050,1200,1200,6850,2300,,,,,,,,Burstner,FLIPPER 460 TS,,,,08,,,710,,,106,,394
O2,2005-01-18,10,01,,,20050118,,,,,,760,3000,3000,7850,2550,,,,,,,,Omavalmiste,PV 3000,,,,08,,,851,,,954,,395
M1,2001-02-19,,01,,5365292336,20010219,9,,AB,,5,1015,1480,1480,3770,1640,1420,01,1390,55,4,,,Renault,2D CLIO HATCHBACK 1.4-CBEB0F/247,,,CLIO,05,,01,564,160,157598,901,VF1CBEB0F2,396
M1,2001-11-30,,01,,5560292122,20011130,2,,AA,,5,1330,1750,1750,4520,1720,1420,01,1580,80,4,,,Volvo,4D S40 SEDAN 1.6-VS10K3/256,,,S40,05,,01,399,185,98739,664,YV1VS10K32,397
MUU,1991-05-22,508,01,,,19891215,8,,,1,5,1320,1800,1695,,1740,,01,2290,,,,,Mercedes-Benz,4DSEDAN 230E AUTOMATIC-124023,,,,05,,01,564,,303665,904,WDB1240231,398
M1,2005-06-22,,01,K,K01,20050622,8,,AA,,5,1253,1690,1690,4440,1710,1450,01,1490,72,4,,,Nissan,4D ALMERA SEDAN 1.5-BAAN16/254,,,ALMERA,05,e11*98/14*0129*12,01,832,160,413751,934,SJNBAAN16U,399
O1,2002-09-20,1,01,,,20020920,,,,,,140,750,750,3850,1650,,,,,,,,Muuli,1250 XI/250,,,,,,,075,,,494,,400
M1,2006-11-03,,01,AFBTSX01,FM5FM52T087M15,20061103,6,,AF,,5,1250,1690,1690,4210,1680,1610,01,1590,77,4,,,Skoda,5D ROOMSTER MPV 1.6-D-77-5J/262,,,ROOMSTER,05,e11*01/116*0291*04,01,297,170,157071,701,TMBMD65JX7,401
N1,2003-12-02,,01,,,20031202,6,,,,2,1350,2020,2020,4320,1680,1800,02,1680,48,4,true,,Opel,COMBO VAN 1.7DI-2.02T-XCF25/272,,,COMBO VAN,05,,02,091,,233492,008,,402
MA,2004-12-27,107,01,,,20041227,,,,4,1,309,,,2900,1220,1230,01,436,70,2,,,Ski-Doo,MXZ RACING 440-453/436,,,,02,,01,743,,,602,,403
L3e,2005-04-29,109,01,1,1,20050429,,,,,2,193,375,375,,710,,01,999,130,,,,Suzuki,GSX-R1000-B61111/999,,,GSX-R1000,02,e4*2002/24*0375*00,01,109,,,135,,404
MA,1997-04-29,107,01,,,19970429,,,,4,2,290,,,3080,960,1240,01,368,25,2,,,Lynx,FORESTFOX-377-08,,,,01,,01,698,,,965,,405
MUU,1990-07-27,509,01,,,19900727,,,,,1,2940,,,,,,02,2680,,3,,,Valmet,405-4-4X4/2260,,,,01,,02,260,,,583,,406
M1,1991-06-14,,01,,,19910614,9,,,1,5,740,1190,1115,3710,1580,,01,990,41,4,,,Suzuki,2D SWIFT GA-EAA44S/2270,,,SWIFT,05,,01,405,,59620,539,JSAEAA44S0,407
N1,2002-02-05,,01,,,20020205,6,,,,3,1790,2800,2800,5110,1840,,02,2460,65,5,true,,Volkswagen,TRANSPORTER 2.5TDI-70X0A-KASTEN/332,,,TRANSPORTER,05,,02,208,,296525,851,,408
M1,2004-04-28,,01,BXA1A,01X,20040428,0,,AB,,5,950,1385,1385,3870,1660,1480,01,1240,44,4,,,Fiat,4D PUNTO HATCHBACK 1.2 8V-188BXA1A01X/246,,,PUNTO,05,e3*98/14*0048*05,01,285,136,126613,469,ZFA1880000,409
M1,2005-09-23,,01,198,2,20050923,2,,AC,,5,1410,1900,1900,4700,1780,1480,01,1790,88,4,,,Mazda,5D MAZDA6 STW 1.8-GY1982/268,,,6,05,e1*98/14*0188*07,01,020,193,118395,378,JMZGY19825,410
M1,2004-11-10,,01,FYDB1,5CADKH,20041110,6,,AC,,5,1150,1635,1635,4450,1700,1460,01,1590,74,4,,,Ford,5D FOCUS STW 1.6-DNW/262,,,FOCUS,05,e13*97/27*0040*17,01,694,163,172819,111,WF0NXXGCDN,411
L3e,2005-02-11,109,01,X8F,FFAAA0,20050211,,,,4,2,260,454,454,2260,830,,01,883,40,2,,,Harley-Davidson,XL883 SPORTSTER-CAM/883,,5,XL883 SPORTSTER-CAM/883,02,e4*2002/24*0208*01,01,239,,,726,,412
MUU,,509,01,,,19740000,,,,,1,2690,,,,,,02,3910,,,,,International,1-674/2160,,,,02,,02,931,,,446,,413
N2,2002-01-30,,01,,,20020130,,,,,3,2120,3510,3510,5510,2000,,02,2800,94,,true,,Fiat,DUCATO VAN 2.8 JTD-MAXI-230CPMNC1/370,,,,05,,02,301,,234292,612,,414
M1,2003-07-08,,01,,,20030708,,,,1,5,1565,1920,1920,4680,1700,,01,1990,92,,,,Subaru,5D LEGACY STW 2.0 GL-BH5-4X4/265,,,,05,,01,103,217,291095,316,JF1BH5LJ43,415
M1,2007-02-23,,01,E2,PZN,20070223,0,,AF,,5,1100,1510,1510,3830,1670,1490,01,1390,71,4,,,Hyundai,4D GETZ HATCHBACK 1.4-B-51DP/246,,,GETZ,05,e4*98/14*0066*10,01,444,144,180847,085,KMHBU51DP7,416
MUU,1977-05-12,509,01,,,19770000,,,,,1,3470,10000,,,,,02,4180,,4,,,Valmet,702/2240,,,,02,,02,783,,,326,,417
M1,1994-01-11,,01,,,19940111,2,,,1,5,1230,1715,1715,4430,1700,1400,01,1990,85,4,,,Opel,4D VECTRA 2.0I EXPRESSION-A-87/260,,,VECTRA-A,05,,01,694,,179723,111,W0L000087R,418
N1,2004-11-25,,01,,,20041125,9,,,,3,1810,3000,3000,5160,1800,2000,02,2490,65,4,true,,Toyota,HIACE VAN 2.5TD-KLH22L-RBMRYW/343,,,HIACE,05,,02,285,,138539,486,,419
M1,1999-05-25,,01,,5249202370,19990525,Y,,AB,,5,1235,1735,1735,4110,1710,1430,01,1990,100,4,,,Opel,4D ASTRA HATCHBACK 2.0-TGF48/261,,,ASTRA-G-CC,05,,01,245,,232232,042,W0L0TGF48X,420
L7e,2005-12-05,126,01,UA,,20051205,,,,,2,238,390,,,1040,,01,230,12,,false,false,Loncin,,,,USATEC,04,e9*2002/24*0024*00,01,507,,560,527,,421
M1,2006-06-26,,01,AABSE,FM5FM5AF006N0GGN1,20060626,1,,AA,,5,1343,1870,1870,4550,1780,1460,01,1590,75,4,,,Volkswagen,4D JETTA SEDAN 1.6-1KM/258,,,JETTA,05,e1*01/116*0328*02,01,924,180,118600,698,WVWZZZ1KZ6,422
O1,1989-04-26,1,01,,,19890000,,,,,,160,650,650,3700,1660,,,,,,,,Kärppä,KE-VE/2400,,,,,,,305,,,936,,423
O2,1989-03-20,13,01,,,19890000,,,,,,760,1000,890,6550,2090,,,,,,,,Solifer,ARTIC 500/3840,,,,08,,,564,,,912,,424
M1,1999-06-09,,01,,5267361103,19990609,8,4,AA,1,5,1237,1720,1720,4370,1740,,01,1590,74,4,false,false,Volkswagen,4D BORA 1.6-1J/250,,,4D BORA 1.6-1J/250,05,,01,581,185,268576,397,WVWZZZ1JZY,425
O2,2007-10-03,13,01,,,20071003,,,,,,210,900,900,5960,1960,,,,,,,,Heppu,900 VLJ,,,,08,,,445,,,233,,426
M1,2005-06-16,,01,2CHFX*,2CHFXF,20050616,2,,AB,,5,985,1405,1405,3820,1650,1430,01,1120,44,4,,,Peugeot,2D 206 HATCHBACK 1.1I-2CHFXF/245,,,206,05,e2*98/14*0212*06,01,245,148,111049,042,VF32CHFXF4,427
L1,,109,01,,,19941108,,,,,1,60,,,,680,,01,50,,1,,,Suzuki,SOLIFER-PV50/50,,,,01,,01,092,,,013,,428
O2,1997-11-20,13,01,,,19971120,,,,,,400,900,900,4000,2300,,,,,,,,Eurowagon,4000 U,,,,08,,,837,,,342,,429
MUU,1989-06-12,13,,,,19890000,,,,,,180,,750,,1720,,,,,,,,Omavalmiste,2.55M/263CM.,,,,,,,143,,,395,,430
L3,1981-05-14,109,01,,,19810000,,,,,1,220,,,,880,,01,496,37,2,,,Honda,CX500-PC01/496,,,,04,,01,091,,,004,,431
M1,1999-02-05,,01,SEAHUX01,SGFM52A0204,19990205,4,,AC,,5,1200,1585,1585,4140,1640,1410,02,1890,66,4,true,,Seat,5D CORDOBA VARIO 1.9TDI-6K/244,,,CORDOBA,05,e9*93/81*0001*05,02,854,,300101,957,VSSZZZ6KZX,432
M1,2005-09-27,,01,,,19990225,2,,,1,5,1525,1915,1915,4480,1730,,01,2390,121,,,,Audi,4D A4 SEDAN 2.4 AUTOMATIC-B5/260,,,,05,e1*98/14*0013*16,01,098,,275095,171,WAUZZZ8DZX,433
M1,1990-08-10,,01,,,19900810,8,,,1,5,950,1360,1325,4200,1640,,01,1590,66,4,,,Ford,4D ORION 1.6I CL-AFF/240,,,ORION,05,,01,240,,23118,946,WF0FXXGCAF,434
M1,2005-01-14,,01,ZNR10(W),ZNR10L-GWMEKW(1C),20050114,1,,AC,,5,1430,2035,2035,4360,1770,1620,01,1590,81,4,,,Toyota,5D COROLLA VERSO STW 1.6-5-ZNR10L-GWMEKW/275,,,COROLLA VERSO,05,e11*01/116*0222*02,01,564,178,128838,905,NMTEZ16R90,435
M1,1999-10-25,,01,,5267095502,19991025,8,,AC,,5,1440,1845,1845,4410,1740,1510,02,1890,66,4,true,,Volkswagen,5D GOLF VARIANT 1.9TDI-1J/250,,,GOLF,05,,02,749,143,426292,718,WVWZZZ1JZY,436
M1,1999-11-23,,01,,5313221302,19991123,8,,AB,,5,1155,1600,1600,4170,1700,,01,1580,65,4,,,Citroen,4D XSARA 1.6I-N1NFZF/254,,,XSARA,05,,01,297,,188659,702,VF7N1NFZF3,437
O1,1999-10-15,1,01,,,19991015,8,,,,,190,750,750,4540,1800,,,,,,,,Muuli,1400 SF/289,,,,,,,320,,,981,,438
M1,2001-01-23,,01,B,B02,20010123,6,4,AA,1,5,1325,1725,1725,4520,1720,1410,01,1760,84,4,false,false,Nissan,4D PRIMERA SEDAN 1.8-BEAP11/260,1,5,PRIMERA,05,e11*93/81*0060*04,01,743,177,159144,605,SJNBEAP11U,439
MA,,107,01,,,19941103,,,,4,2,300,,,3200,970,,01,497,,2,,,Lynx,650-ROTAX 503 SKANDINAVIA,,,,01,,01,495,,,426,,440
O1,1986-04-10,1,01,,,19860000,,,,,,180,750,750,3650,1640,,,,,,,,Manu,75PW/2200+600,,,,,,,927,,,031,,441
M1,2003-11-28,,01,,5365332510,20031128,2,5,AC,1,5,1310,1815,1815,4500,1780,1470,02,1460,60,4,true,,Renault,5D MEGANE BREAK 1.5DCI-KMRF05/269,,,MEGANE,05,,02,434,122,457971,079,VF1KMRF052,442
M1,1999-05-11,,01,FYDA1,5BABLH,19990511,2,,AC,,5,1193,1635,1635,4440,1700,1450,01,1590,74,4,,,Ford,5D FOCUS STW 1.6-DNW/262,,,FOCUS,05,e13*97/27*0040*01,01,233,167,220448,622,WF0NXXGCDN,443
M1,1997-07-11,,01,,,19970711,5,,,1,5,1350,1950,1950,4670,1750,,01,1790,85,,,,Ford,5D MONDEO 1.8-STW-BNP/270,,,,05,,01,400,,171417,238,WF0NXXGBBN,444
M1,1982-07-06,,01,,,19820000,0,,,1,5,860,1300,1260,,1600,,01,1170,,,,,Datsun,2D SUNNY 120Y-LB310RQG/2340,,,,05,,01,214,,,387,JN100B310U,445
M1,1989-10-04,,01,,,19891004,9,,,1,5,1010,1460,1410,,1620,,01,1180,,4,,,Lada,4D SEDAN 1200S-210510/2420,,,1200,05,,01,853,,,202,XTA210510L,446
M1,2002-04-08,,01,,5313241303,20020408,8,,AB,,5,1400,1845,1845,4620,1770,1480,01,1990,100,4,,,Citroen,4D C5 HATCHBACK 2.0I AUTOMATIC-DCRFNE/275,,,C5,05,,01,297,206,330511,702,VF7DCRFNE7,447
M1,2002-12-02,,01,,5361241320,20021202,6,,AB,,5,1102,1567,1567,3820,1670,1440,01,1580,80,4,,,Peugeot,4D 206 HATCHBACK 1.6I-2ANFUF/245,,,206,05,,01,049,153,,022,VF32ANFUF4,448
M1,1996-04-12,29,01,,,19960412,2,3,,1,7,3120,4173,4170,5720,2020,,02,6470,123,,false,false,Chevrolet,CHEVY VAN 30-HG39Y/371,,,,10,,02,704,,572169,212,1GBGG39Y4S,449
MUU,1980-07-22,13,01,,,19800000,,,,,,90,,300,,1590,,,,,,,,Heinemann,BA35,,,,,,,153,,,551,,450
N1,1993-04-07,,01,,,19930407,9,,,,3,1670,2800,2800,4830,1690,,02,2440,57,4,,,Toyota,HIACE LH112L-SBMRSW-VAN/259,,,HIACE,05,,02,398,,,151,,451
L3,2003-02-28,109,01,A,12A,20030228,,,,4,2,246,428,428,2090,730,1200,01,1199,131,4,,,Kawasaki,ZX-12R-ZXT20A/1199,,6,ZX,02,e1-92/61-00065/04,01,734,,,252,,452
O1,2003-03-25,1,01,,,20030325,8,,,,,220,750,750,4640,1900,,,,,,,,Majava,M 5032 LJ/304,,,,,,,609,,,286,,453
O1,2006-06-21,1,01,,,20060621,,,,,,,750,750,3890,1650,,,,,,,,Heppu,750 PLL/265,,,,,,,444,,,087,,454
MUU,1996-07-29,1,01,,,19960729,,,,,,200,,600,3000,1950,,,,,,,,Omavalmiste,,,,,,,,272,,,677,,455
M1,1996-07-01,,01,,,19960701,9,,,1,5,1110,1530,1530,4260,1690,,01,1330,55,4,,,Toyota,5D COROLLA STW XLI-EE101L-AWMDKW/247,,,COROLLA,05,,01,854,,372402,957,JT172EEA10,456
O1,1988-06-03,1,,,,19880000,,,,,,120,710,710,3150,1650,,,,,,,,Muuli,590S/2130,,,,,,,145,,,607,,457
M1,2007-02-28,,01,2,6,20070228,0,,AA,,5,1421,1920,1920,4670,1760,1450,01,1990,114,4,,,Honda,4D ACCORD SEDAN SPORT 2.0-CL75/268,,,ACCORD,05,e6*01/116*0091*02,01,680,189,161066,212,JHMCL75407,458
MUU,1976-05-17,13,01,,,19760000,,,,,,170,,500,,1510,,,,,,,,Velsa,500,,,,,,,301,,,613,,459
M1,1990-04-19,,01,,,19900419,2,,,1,5,1120,1560,1495,4440,1690,,01,1580,77,4,,,Toyota,4D CARINA II-1.6 GLI LIFTBACK-AT171L-ALMNKG/253,,,CARINA II,05,,01,915,,,782,JT1LAT1710,460
M1,2006-10-09,,01,VD31,01,20051109,,,,1,5,1655,2100,2100,4520,1820,,01,2990,190,,,,BMW,4D 330XI SEDAN VD31-4X4/276,,,330xi,05,e1*01/116*0344*00,01,091,230,100638,003,WBAVD31090,461
MUU,1990-08-03,509,01,,,19900803,,,,,1,3610,4800,,,,,02,3920,,4,,,John Deere,2450-4X4/2290,,,,02,,02,050,,,275,,462
M1,2006-06-22,,01,ACBKDX01,FM6FM62Q009N,20060622,2,,AC,,5,1425,2010,2010,4570,1770,1460,02,1960,103,4,true,,Skoda,4D OCTAVIA COMBI 2.0TDI-103-E-1Z/258,,,OCTAVIA,05,e11*01/116*0230*07,02,536,149,195145,371,TMBHE61Z36,463
M1,2000-02-14,,01,ZZE112(E),ZZE112L-AEMDKW(1D),20000214,Y,,AA,,5,1130,1615,1615,4320,1690,1390,01,1590,81,4,,,Toyota,4D COROLLA SEDAN 1.6-ZZE112L-AEMDKW/247,,,COROLLA,05,e6*95/54*0043*02,01,503,168,151365,231,JT153ZEB20,464
M1,2000-01-31,,01,,5202241307,20000131,2,,AB,,5,1525,1960,1960,4150,1740,1410,01,1780,154,4,true,,Audi,2D A3 HATCHBACK QUATTRO S3 1.8T-8L-4X4/251,,,A3,05,,01,564,221,269386,905,WAUZZZ8LZY,465
M1,2000-06-09,,01,J4L1,5104,20000609,2,,,1,5,1006,1405,1405,3830,1630,,01,1290,44,,,,Ford,2D FIESTA HATCHBACK 1.3-JBS/245,,,,05,e13*95/54*0009,01,532,161,141345,155,WF0BXXGAJB,466
M1,1987-06-17,,01,,,19870617,,,,1,5,930,1450,1305,,1610,,01,1460,,4,,,Seat,4D IBIZA 1.5 GLX-021A2-5/2450,,,IBIZA,05,,01,178,,,518,VSS021A000,467
M1,2001-06-12,,01,STAVUX01,FM5FM52K028L,20010612,8,,AB,,5,1280,1790,1790,4510,1730,,01,1590,75,4,,,Skoda,4D OCTAVIA HATCHBACK 1.6-75-X-1U/250,,,OCTAVIA,05,e11*95/54*0066*12,01,214,168,205634,387,TMBCX41U71,468
M1,2001-08-15,,01,CDT220(W),CDT220L-AWMNYW(2F),20010815,2,,AC,,5,1430,1830,1830,4600,1710,1500,02,1990,81,4,true,,Toyota,5D AVENSIS STW 2.0TD-CDT220L-AWMNYW/263,,,AVENSIS,05,e11*96/79*0077*04,02,098,161,368726,152,SB172DBN00,469
M1,2007-02-09,,01,BMYAF,FM6FM62S0080GGS7S1,20070209,0,4,AF,1,5,1599,2200,2200,4410,1790,1620,01,1390,103,4,true,false,Volkswagen,5D TOURAN MPV 1.4TSI-1T/268,1,6,TOURAN,05,e1*01/116*0211*14,01,091,176,139172,003,WVGZZZ1TZ7,470
O2,1988-09-28,13,01,,,19880000,,,,,,950,1200,1110,6900,2170,,,,,,,,Matkaaja,8004/3670+650,,,,08,,,684,,,266,,471
O1,1990-05-02,1,01,,,19900502,,,,,,210,750,750,3950,1640,,,,,,,,Jullikka,2524S/2360+650,,,,,,,601,,,448,,472
M1,2003-04-03,,01,,5902241303,20030403,8,,AB,,5,1400,1880,1880,4680,1780,1440,01,1990,104,4,,,Mazda,4D MAZDA6 HATCHBACK 2.0 AUTOMATIC-GG14F5/268,,,6,05,,01,684,209,218759,261,JMZGG14F53,473
M1,2006-09-25,,01,VW18,VW1822,19981222,8,,,1,5,1410,1810,1810,4480,1720,,01,1850,147,,true,,Volvo,5D WAGON V40-VW18/255,,,,05,e4*96/27*0007*09,01,240,,282296,946,YV1VW1822X,474
M1,2002-03-05,,01,,,20010223,6,,,1,5,1270,1715,1715,4360,1700,,02,1790,66,,true,,Ford,4D FOCUS SEDAN 1.8TD-DFW/262,,,,05,,02,698,142,127639,962,WF0FXXWPDF,475
M1,1982-01-21,21,01,,,19820000,2,,,1,5,710,1150,1110,,1530,,01,900,,,,,Fiat,2DSEDAN 900-127A-II/2230,,,127,02,,01,403,,,626,,476
MUU,,509,01,,,19710000,,,,,1,1720,,,,,,02,2860,,,,,Ford,3000/1930,,,,,,02,143,,,395,,477
L1,2003-03-11,109,05,,,20030311,2,,,,1,87,260,,1880,690,1090,01,49,3.6,1,,,Kymco,SUPER FEVER ZX-SC10AS/49,,,SUPER FEVER ZX-SC10AS/49,04,,01,598,,,686,,478
M1,2006-01-03,,01,BA11,1A12BMAAAEJ5,20060103,Y,,AC,,5,1475,2030,2030,4840,1800,1500,01,1790,90,4,,,Opel,5D VECTRA STW 1.8-ZCF35/283,,,VECTRA STATION WAGON,05,e1*01/116*0292*03,01,400,190,124426,238,W0L0ZCF356,479
M1,2000-03-15,,01,E,E12,20000315,6,,AB,,5,1180,1595,1595,4140,1690,1400,01,1390,64,4,,,Nissan,4D ALMERA 1.4 HATCHBACK-FAAN15/254,,,ALMERA,05,e1*93/81*0025*03,01,075,,84949,494,JN1FAAN15U,480
M1,1994-09-16,,01,,,19940916,2,,,1,5,1060,1595,1595,4270,1690,,01,1580,84,4,,,Toyota,4D COROLLA 1.6XLI-AE101L-AEMDKW/247,,,COROLLA,05,,01,743,,329986,602,JT153AEA10,481
O4,1997-03-13,14,01,,,19970313,,,,,,6000,39500,24000,13680,2550,,,,,,,,Närko,23PP3-AL18-395,,,,07,,,609,,,284,,482
MUU,1988-08-12,13,01,,,19880000,,,,,,160,,650,,1670,,,,,,,,Veka,2.5X1.3,,,,,,,016,,,174,,483
M1,2001-02-15,,01,,52492023CX,20010215,2,2,AB,1,5,1163,1620,1620,4110,1710,1430,01,1590,62,4,false,false,Opel,2D ASTRA HATCHBACK 1.6-8V-TGF08/261,1,5,ASTRA-G-CC,05,,01,494,171,169823,914,W0L0TGF081,484
MUU,1976-06-23,13,,,,19760000,,,,,,190,,600,,1700,,,,,,,,Omavalmiste,4.20M,,,,,,,285,,,487,,485
N1,2003-08-15,,01,,,20030815,2,2,,,3,1810,2710,2710,5200,1970,2310,02,1990,63,4,true,false,Ford,TRANSIT 280 SEMI HIGH VAN-2.0D63-FAFY/330,,,TRANSIT 280,05,,02,915,,233652,785,,486
O2,2001-03-01,13,01,,,20010301,,,,,,390,900,900,5620,2300,,,,,,,,Omavalmiste,398X195,,,,08,,,182,,,423,,487
MA,1999-02-22,107,01,,,19990222,,,,4,2,340,,,2970,1210,1230,01,485,42,2,,,Yamaha,VENTURE-VT500XL-8DX,,,,02,,01,398,,,151,,488
M1,1999-10-14,,01,,5900182109,19991014,5,,AA,,5,1315,1710,1710,4520,1720,1410,01,1590,73,4,,,Nissan,4D PRIMERA SEDAN 1.6-BAAP11/260,,,PRIMERA,05,,01,091,186,279922,007,SJNBAAP11U,489
M1,1996-12-12,,01,,,19961212,2,,,1,5,1180,1590,1590,4380,1700,,01,1780,55,4,,,Volkswagen,4D VENTO 1.8 CL-1HX0-B/248,,,VENTO,05,,01,050,,198371,276,WVWZZZ1HZV,490
MUU,1989-01-17,13,01,,,19890000,,,,,,175,,675,,1780,,,,,,,,Omavalmiste,2.41X1.41M,,,,,,,297,,,704,,491
M1,2006-04-06,,01,SCP90(G),SCP90L-CGMRKW(1A),20060406,2,,AF,,5,1085,1480,1480,3750,1700,1530,01,1290,64,4,,,Toyota,3D YARIS MPV 1.3-SCP90L-CGMRKW/246,,,YARIS,05,e11*01/116*0249*00,01,245,141,101689,042,VNKJL98330,492
M1,2001-08-22,,01,R20DF0,JDAAA50,20010822,8,,AC,,5,1555,2080,2080,4540,1730,1470,02,2140,85,4,true,,Mercedes-Benz,5D C 200 CDI KOMBI-203204/272,,,C 200 CDI,05,e1*98/14*0158*00,02,233,177,602054,622,WDB2032041,493
M1,1995-08-10,,01,,,19950810,5,,,1,5,1170,1605,1605,4340,1700,,01,1490,66,,,,Mazda,4D FAMILIA 323-1.5I-BA1255/261,,,,05,,01,426,,224350,833,JMZBA12550,494
O1,1978-06-21,1,01,,,19780000,,,,,,130,530,530,3250,1420,,,,,,,,Velsa,HESSU 5/2250,,,,,,,146,,,829,,495
