ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
M1,2003-04-11,,01,,5313241303,20030411,8,,AB,,5,1400,1845,1845,4620,1770,1480,01,1990,100,4,,,Citroen,4D C5 HATCHBACK 2.0I AUTOMATIC-DCRFNE/275,,,C5,05,,01,049,206,243466,026,VF7DCRFNE7,81
M1,2006-08-08,,01,12Z,2,20060808,6,,AA,,5,1240,1675,1675,4490,1760,1470,01,1590,77,4,,,Mazda,4D MAZDA3 SEDAN 1.6-BK12Z2/264,,,3,05,e1*01/116*0234*05,01,213,172,46176,514,JMZBK12Z26,82
M1,1995-01-03,,01,,,19950103,2,,,1,5,890,1300,1300,3700,1590,,01,1270,55,4,,,Nissan,2D MICRA HATCHBACK 1.3 LX-EBAK11/236,,,MICRA,05,,01,153,,230055,551,SJNEBAK11U,83
O1,1980-04-21,1,01,,,19800000,,,,,,120,520,520,2900,1480,,,,,,,,Muuli,PV500/1940,,,,,,,491,,,501,,84
O1,1985-08-22,1,01,,,19850000,,,,,,150,650,650,3300,1670,,,,,,,,Kärppä,MIDI/2310,,,,,,,211,,,361,,85
M1,1997-06-26,29,01,,,19970626,5,,,1,9,2000,2600,2600,4660,1870,,02,2290,72,,true,,Mercedes-Benz,110D-638174-KOMBI/300,,,,05,,02,484,,306348,299,VSA6381741,86
N1,1998-06-17,,01,,,19980617,9,,,,3,1860,2900,2900,4720,1800,1990,02,2440,66,4,true,,Toyota,HIACE LXH18L-SBMRXW-VAN-4X4/299,,,HIACE,05,,02,858,,335173,043,,87
M1,2003-11-26,,01,,,20031126,1,,,1,7,1970,2580,2580,4720,1760,,02,2950,113,,true,,Nissan,5D TERRANO II STW 3.0TDI AUTOMATIC-TWUR20-4X4/265,,,,05,,02,444,262,263664,103,VSKTWUR20U,88
M1,2003-10-08,,01,,5902241507,20031008,2,,AC,,5,1410,1900,1900,4700,1780,1480,01,1790,88,4,,,Mazda,5D MAZDA6 STW 1.8-GY1982/268,,,6,05,,01,091,193,205102,003,JMZGY19823,89
L1e,2005-07-08,109,01,2A,2B,20050708,,,,4,2,96,270,270,2040,830,,01,49,1.9,1,,,Derbi,SENDA DRD SM-SR2A2B/49,,6,SENDA SM,02,e9*2002/24*0001*03,01,109,,,131,,90
M1,1997-12-29,,01,AT220(WS),AT220L-AWMNKW(10),19971229,Y,,AC,,5,1315,1730,1730,4570,1710,1500,01,1580,81,4,,,Toyota,5D AVENSIS STW 1.6-AT220L-AWMNKW/263,,,AVENSIS,05,e11*96/79*0077*00,01,924,,363686,697,SB172ABN00,91
MA,1996-01-04,107,01,,,19960103,0,,,4,1,320,,,3150,1090,1270,01,339,24,2,,,Arctic Cat,BEARCAT 340,,,,01,,01,698,,,972,,92
L2,,113,01,,,19920401,,,,,1,75,,,,1060,,01,47,2.4,1,,,Erkkola,MOE 5-50MA-ABEX-B/47,,,,01,,01,320,,,983,,93
MUU,1996-10-07,509,01,,,19961007,,,,,1,4190,8000,,,,,02,4390,70,4,true,,Valmet,6400-4-4X4/233,,,,02,,02,599,,,689,,94
M1,2005-09-28,,01,,,19951113,2,,,1,4,1590,2060,1910,4970,1890,,01,5730,205,,,,Pontiac,FIREBIRD TRANS AM COUPE-FV2-P/257,,,,05,,01,405,,121947,533,2G2FV22P9T,95
M1,1999-04-12,,01,,5902153302,19990412,2,,AB,,5,1150,1590,1590,4200,1710,1420,01,1490,65,4,,,Mazda,4D HATCHBACK 323F-1.5-BJ-14L-2E/261,,,323F,05,,01,562,181,204004,353,JMZBJ14L20,96
M1,2006-04-06,,01,2AKFW*,2AKFWA,20060406,8,,AB,,5,1025,1450,1450,3820,1650,1430,01,1360,55,4,,,Peugeot,4D 206 HATCHBACK 1.4I-2AKFWA/245,,,206,05,e2*98/14*0237*09,01,927,152,89106,034,VF32AKFWA4,97
O1,1993-05-24,1,01,,,19930524,,,,,,130,650,650,3780,1710,720,,,,,,,Europe-Tra,S 650/250,,,,,,,698,,,966,,98
MUU,,509,01,,,19660000,,,,,1,1910,,,,,,02,2680,,,,,Valmet,565/1900,,,,,,02,889,,,916,,99
MUU,1987-05-25,509,01,,,19870000,,,,,1,6860,9500,,,,,02,8100,,6,,,Fiat,180-90 DT-4X4/2890,,,,02,,02,848,,,826,,100
M1,1992-05-11,,01,,,19920511,2,,,1,5,1060,1550,1435,4410,1720,,01,1580,65,4,,,Peugeot,4D SEDAN 405 GLX-15BBD2/267,,,405,05,,01,444,,223000,086,VF315BBD27,101
L1,2000-05-29,109,01,,,20000529,,,,,1,80,265,,1740,680,,01,49,3.4,1,,,Yamaha,BW'S-SA051/49,,,BW'S-SA051/49,04,,01,049,,,022,,102
N2,2000-07-11,,01,,,20000711,,,,,3,2080,3500,3510,5510,2000,,02,2440,79,,true,,Peugeot,BOXER-233J42-FOURGON/370,,,,05,,02,980,,139187,334,,103
O1,1990-05-09,1,01,,,19900509,,,,,,120,710,710,3150,1650,,,,,,,,Muuli,590S/2130,,,,,,,143,,,395,,104
M1,2006-11-29,,01,RS54,RS5449??,20061129,0,4,AA,1,5,1577,2030,2030,4600,1800,1430,01,2400,191,5,true,false,Volvo,4D S60 SEDAN 2.4 T5 AUTOMATIC-RS5449/272,,,S60,05,e9*01/116*0036*13,01,405,234,110031,553,YV1RS54497,105
M1,1989-01-23,,01,,,19890000,8,,,1,5,1030,1490,1405,,1650,,01,1580,,4,,,Toyota,4D COROLLA 1.6 SE-LIFTBACK-AE92L-ALMDUW/2430,,,COROLLA,05,,01,283,,264275,168,JT1L0AE920,106
MUU,1976-12-16,13,01,,,19760000,,,,,,110,,560,,1490,,,,,,,,Muuli,500,,,,,,,531,,,292,,107
M1,2006-05-19,,01,M111,5121F,20060519,1,,AF,,5,1275,1733,1733,4340,1740,1470,01,1590,77,4,,,Kia,5D CERATO MPV 1.6-FE2422/261,,,CERATO,05,e11*01/116*0228*02,01,426,167,150513,804,KNEFE24226,108
M1,2000-05-12,,01,,,20000512,8,5,,1,5,1524,1980,1980,4670,1740,1450,02,1890,85,4,true,false,Volkswagen,5D PASSAT VARIANT 1.9TDI-3B/271,,,PASSAT,05,,02,276,151,410878,812,WVWZZZ3BZY,109
M1,2000-05-08,,01,,5560311544,20000508,6,,AC,,5,1565,1990,1990,4720,1760,1430,01,2430,125,5,,,Volvo,5D V70 WAGON 2.4 AUTOMATIC-LW61F9/266,,,V70,05,,01,609,,187198,386,YV1LW61F9Y,110
L3,2001-04-27,109,01,,,19880109,,,,,1,323,515,,,930,,01,1339,41,,,,Harley-Davidson,FLST HERITAGE SOFTAIL/1339,,,,02,,01,743,,,601,,111
M1,2005-05-11,,01,F4B,M503,20050511,6,,AA,,5,1440,1910,1910,4640,1760,1470,01,1790,90,4,,,Saab,4D 9-3 SEDAN 1.8-F-45B/268,,,9-3,05,e4*01/116*0065*08,01,545,188,205855,662,YS3FB45B05,112
O1,2005-05-30,1,01,,,20050530,,,,,,200,750,750,3870,1750,,,,,,,,Thule,2270UBL/250,,,2270UBL,,,,049,,,026,,113
M1,1997-09-12,,01,,,19961231,8,,,1,5,1340,1770,1770,4480,1730,,01,1780,92,,,,Audi,4D SEDAN A4 1.8-B5/260,,,,05,,01,499,,250474,657,WAUZZZ8DZV,114
M1,1998-09-17,,01,,5900042319,19980917,5,,AB,,5,915,1300,1300,3700,1590,,01,1270,55,4,,,Nissan,4D MICRA HATCHBACK 1.3-FBAK11/236,,,MICRA,05,,01,837,,170132,337,SJNFBAK11U,115
L3,,109,01,,,19730000,,,,,1,145,,,,620,,01,347,26,,,,Yamaha,STREET 350-R5/347,,,,01,,01,529,,,211,,116
L3,,109,01,,,19710000,,,,,1,165,320,,1940,730,,01,325,,,false,false,Honda,,,,CB 350,01,,01,505,,,046,,117
M1,1997-01-16,,01,,,19970116,6,,,1,5,1290,1650,1650,4430,1700,,01,1590,75,4,,,BMW,4D SEDAN 316I-CA71/270,,,316i,05,,01,272,,78929,677,WBACA71060,118
O1,1980-05-02,13,01,,,19800000,,,,,,610,900,720,4650,2050,,,,,,,,Sprite,ALPINE C/2890,,,,08,,,075,,,494,,119
